CAGE,SPECIES,HEIGHT,TIME,ALATE,NYMPH,ADULT
22,INC,27,48,1,5,0
23,SYR,21,48,1,8,0
23,TUB,8,48,0,0,0
23,INC,26,48,1,6,0
24,SYR,11,48,2,16,0
24,TUB,6,48,0,0,0
24,INC,27,48,1,7,0
25,SYR,8,48,2,15,0
25,TUB,10,48,0,0,0
25,INC,28,48,2,11,0
1,SYR,8,120,1,9,0
1,TUB,9,120,0,0,0
1,INC,27,120,2,27,0
2,SYR,17,120,0,0,0
2,TUB,5,120,0,0,0
2,INC,21,120,3,31,0
3,SYR,10,120,1,14,0
3,TUB,8,120,1,14,0
3,INC,17,120,0,0,0
4,SYR,16,120,1,12,0
4,TUB,5,120,1,12,0
4,INC,27,120,1,15,0
5,SYR,21,120,3,14,0
5,TUB,11,120,0,0,0
5,INC,18,120,2,13,0
6,SYR,12,120,2,14,0
6,TUB,5,120,0,0,0
6,INC,25,120,2,31,0
7,SYR,9,120,1,9,0
7,TUB,10,120,0,0,0
7,INC,31,120,0,0,0
8,SYR,12,120,0,4,0
8,TUB,11,120,0,0,0
8,INC,16,120,1,13,0
9,SYR,12,120,2,25,0
9,TUB,14,120,0,0,0
9,INC,16,120,0,0,0
10,SYR,12,120,3,33,0
10,TUB,13,120,0,0,0
10,INC,27,120,1,8,0
11,SYR,9,120,1,11,0
11,TUB,6,120,0,0,0
11,INC,25,120,1,12,0
12,SYR,11,120,3,43,0
12,TUB,11,120,0,0,0
12,INC,23,120,0,0,0
13,SYR,16,120,1,7,0
13,TUB,7,120,0,0,0
13,INC,26,120,3,33,0
14,SYR,7,120,2,24,0
14,TUB,10,120,0,0,0
14,INC,29,120,1,11,0
15,SYR,12,120,3,56,0
15,TUB,10,120,0,0,0
15,INC,35,120,0,3,0
16,SYR,13,120,0,0,0
16,TUB,14,120,2,21,0
16,INC,29,120,1,14,0
17,SYR,13,120,2,39,0
17,TUB,11,120,0,0,0
17,INC,31,120,2,11,0
18,SYR,9,120,0,0,0
18,TUB,9,120,0,0,0
18,INC,15,120,2,28,0
19,SYR,10,120,0,0,0
19,TUB,9,120,1,9,0
19,INC,22,120,0,0,0
20,SYR,12,120,1,12,0
20,TUB,10,120,3,21,0
20,INC,27,120,0,0,0
21,SYR,13,120,0,0,0
21,TUB,9,120,0,0,0
21,INC,24,120,4,49,0
22,SYR,10,120,1,15,0
22,TUB,11,120,0,0,0
22,INC,27,120,1,17,0
