CAGE,SPECIES,HEIGHT,MORPH,TIME,ADULT,NYMPH
1,SYR,9,APTEROUS,6,1,0
1,TUB,10,APTEROUS,6,1,0
1,INC,26,APTEROUS,6,2,2
2,SYR,9,APTEROUS,6,0,0
2,TUB,12,APTEROUS,6,0,0
2,INC,9,APTEROUS,6,1,0
3,SYR,17,APTEROUS,6,0,0
3,TUB,14,APTEROUS,6,0,0
3,INC,22,APTEROUS,6,0,0
4,SYR,14,APTEROUS,6,2,3
4,TUB,12,APTEROUS,6,1,0
4,INC,12,APTEROUS,6,1,1
5,SYR,13,APTEROUS,6,1,0
5,TUB,9,APTEROUS,6,0,0
5,INC,15,APTEROUS,6,0,0
6,SYR,12,APTEROUS,6,0,0
6,TUB,9,APTEROUS,6,0,0
6,INC,25,APTEROUS,6,0,0
7,SYR,10,APTEROUS,6,1,0
7,TUB,12,APTEROUS,6,0,0
7,INC,22,APTEROUS,6,0,0
8,SYR,8,APTEROUS,6,1,1
8,TUB,12,APTEROUS,6,1,0
8,INC,16,APTEROUS,6,0,0
9,SYR,12,APTEROUS,6,1,1
9,TUB,12,APTEROUS,6,0,0
9,INC,18,APTEROUS,6,2,1
10,SYR,12,APTEROUS,6,1,1
10,TUB,11,APTEROUS,6,1,0
10,INC,25,APTEROUS,6,1,0
11,SYR,12,APTEROUS,6,4,2
11,TUB,8,APTEROUS,6,0,0
11,INC,24,APTEROUS,6,0,0
12,SYR,10,APTEROUS,6,3,3
12,TUB,12,APTEROUS,6,0,0
12,INC,11,APTEROUS,6,0,0
13,SYR,17,APTEROUS,6,3,0
13,TUB,9,APTEROUS,6,0,0
13,INC,28,APTEROUS,6,0,0
14,SYR,18,APTEROUS,6,2,2
14,TUB,9,APTEROUS,6,0,0
14,INC,27,APTEROUS,6,1,0
15,SYR,12,APTEROUS,6,1,3
15,TUB,12,APTEROUS,6,0,0
15,INC,19,APTEROUS,6,1,0
16,SYR,12,APTEROUS,6,3,3
16,TUB,9,APTEROUS,6,0,0
16,INC,13,APTEROUS,6,0,0
17,SYR,19,APTEROUS,6,1,1
17,TUB,10,APTEROUS,6,0,0
17,INC,33,APTEROUS,6,1,1
18,SYR,15,APTEROUS,6,0,0
18,TUB,11,APTEROUS,6,2,0
18,INC,33,APTEROUS,6,1,0
19,SYR,16,APTEROUS,6,2,0
19,TUB,12,APTEROUS,6,0,0
19,INC,29,APTEROUS,6,0,0
20,SYR,14,APTEROUS,6,3,4
20,TUB,13,APTEROUS,6,0,0
20,INC,20,APTEROUS,6,0,0
21,SYR,12,APTEROUS,6,4,2
21,TUB,13,APTEROUS,6,0,0
21,INC,11,APTEROUS,6,0,0
22,SYR,13,APTEROUS,6,3,0
22,TUB,19,APTEROUS,6,0,0
22,INC,16,APTEROUS,6,0,0
23,SYR,14,APTEROUS,6,2,1
23,TUB,9,APTEROUS,6,0,0
23,INC,26,APTEROUS,6,0,0
24,SYR,14,APTEROUS,6,2,1
24,TUB,11,APTEROUS,6,0,0
24,INC,27,APTEROUS,6,0,0
25,SYR,13,APTEROUS,6,2,1
25,TUB,14,APTEROUS,6,0,0
25,INC,27,APTEROUS,6,0,0
1,SYR,NA,APTEROUS,30,1,3
1,TUB,NA,APTEROUS,30,1,3
1,INC,NA,APTEROUS,30,1,5
2,SYR,NA,APTEROUS,30,0,0
2,TUB,NA,APTEROUS,30,0,0
2,INC,NA,APTEROUS,30,1,1
3,SYR,NA,APTEROUS,30,2,2
3,TUB,NA,APTEROUS,30,0,0
3,INC,NA,APTEROUS,30,0,0
4,SYR,NA,APTEROUS,30,2,5
4,TUB,NA,APTEROUS,30,1,1
4,INC,NA,APTEROUS,30,1,5
5,SYR,NA,APTEROUS,30,1,5
5,TUB,NA,APTEROUS,30,0,0
5,INC,NA,APTEROUS,30,0,0
6,SYR,NA,APTEROUS,30,0,0
6,TUB,NA,APTEROUS,30,1,2
6,INC,NA,APTEROUS,30,0,0
7,SYR,NA,APTEROUS,30,2,3
7,TUB,NA,APTEROUS,30,0,0
7,INC,NA,APTEROUS,30,0,0
8,SYR,NA,APTEROUS,30,1,2
8,TUB,NA,APTEROUS,30,2,5
8,INC,NA,APTEROUS,30,0,0
9,SYR,NA,APTEROUS,30,1,2
9,TUB,NA,APTEROUS,30,0,0
9,INC,NA,APTEROUS,30,2,6
10,SYR,NA,APTEROUS,30,1,4
10,TUB,NA,APTEROUS,30,1,3
10,INC,NA,APTEROUS,30,1,2
11,SYR,NA,APTEROUS,30,4,15
11,TUB,NA,APTEROUS,30,0,0
11,INC,NA,APTEROUS,30,0,0
12,SYR,NA,APTEROUS,30,2,8
12,TUB,NA,APTEROUS,30,0,0
12,INC,NA,APTEROUS,30,0,0
13,SYR,NA,APTEROUS,30,2,3
13,TUB,NA,APTEROUS,30,0,0
13,INC,NA,APTEROUS,30,0,0
14,SYR,NA,APTEROUS,30,2,13
14,TUB,NA,APTEROUS,30,0,0
14,INC,NA,APTEROUS,30,1,2
15,SYR,NA,APTEROUS,30,1,2
15,TUB,NA,APTEROUS,30,0,0
15,INC,NA,APTEROUS,30,2,4
16,SYR,NA,APTEROUS,30,3,9
16,TUB,NA,APTEROUS,30,0,0
16,INC,NA,APTEROUS,30,0,0
17,SYR,NA,APTEROUS,30,1,3
17,TUB,NA,APTEROUS,30,2,2
17,INC,NA,APTEROUS,30,1,1
18,SYR,NA,APTEROUS,30,0,0
18,TUB,NA,APTEROUS,30,2,4
18,INC,NA,APTEROUS,30,1,3
19,SYR,NA,APTEROUS,30,2,3
19,TUB,NA,APTEROUS,30,0,0
19,INC,NA,APTEROUS,30,0,0
20,SYR,NA,APTEROUS,30,2,6
20,TUB,NA,APTEROUS,30,0,0
20,INC,NA,APTEROUS,30,1,5
21,SYR,NA,APTEROUS,30,4,12
21,TUB,NA,APTEROUS,30,0,0
21,INC,NA,APTEROUS,30,0,0
22,SYR,NA,APTEROUS,30,3,7
22,TUB,NA,APTEROUS,30,0,0
22,INC,NA,APTEROUS,30,0,0
23,SYR,NA,APTEROUS,30,3,9
23,TUB,NA,APTEROUS,30,0,0
23,INC,NA,APTEROUS,30,0,0
24,SYR,NA,APTEROUS,30,3,4
24,TUB,NA,APTEROUS,30,0,0
24,INC,NA,APTEROUS,30,0,0
25,SYR,NA,APTEROUS,30,2,4
25,TUB,NA,APTEROUS,30,0,0
25,INC,NA,APTEROUS,30,0,0
1,SYR,NA,APTEROUS,48,1,9
1,TUB,NA,APTEROUS,48,1,9
1,INC,NA,APTEROUS,48,1,7
2,SYR,NA,APTEROUS,48,0,0
2,TUB,NA,APTEROUS,48,0,0
2,INC,NA,APTEROUS,48,1,4
3,SYR,NA,APTEROUS,48,2,5
3,TUB,NA,APTEROUS,48,0,0
3,INC,NA,APTEROUS,48,0,0
4,SYR,NA,APTEROUS,48,2,6
4,TUB,NA,APTEROUS,48,1,11
4,INC,NA,APTEROUS,48,1,10
5,SYR,NA,APTEROUS,48,1,7
5,TUB,NA,APTEROUS,48,0,0
5,INC,NA,APTEROUS,48,0,0
6,SYR,NA,APTEROUS,48,0,0
6,TUB,NA,APTEROUS,48,1,5
6,INC,NA,APTEROUS,48,0,0
7,SYR,NA,APTEROUS,48,2,3
7,TUB,NA,APTEROUS,48,0,0
7,INC,NA,APTEROUS,48,0,0
8,SYR,NA,APTEROUS,48,1,4
8,TUB,NA,APTEROUS,48,2,7
8,INC,NA,APTEROUS,48,0,0
9,SYR,NA,APTEROUS,48,1,3
9,TUB,NA,APTEROUS,48,0,0
9,INC,NA,APTEROUS,48,2,9
10,SYR,NA,APTEROUS,48,1,4
10,TUB,NA,APTEROUS,48,1,3
10,INC,NA,APTEROUS,48,1,2
11,SYR,NA,APTEROUS,48,3,20
11,TUB,NA,APTEROUS,48,0,0
11,INC,NA,APTEROUS,48,0,0
12,SYR,NA,APTEROUS,48,2,11
12,TUB,NA,APTEROUS,48,0,0
12,INC,NA,APTEROUS,48,0,0
13,SYR,NA,APTEROUS,48,1,3
13,TUB,NA,APTEROUS,48,0,0
13,INC,NA,APTEROUS,48,0,0
14,SYR,NA,APTEROUS,48,2,20
14,TUB,NA,APTEROUS,48,0,0
14,INC,NA,APTEROUS,48,1,7
15,SYR,NA,APTEROUS,48,1,1
15,TUB,NA,APTEROUS,48,0,0
15,INC,NA,APTEROUS,48,2,10
16,SYR,NA,APTEROUS,48,3,15
16,TUB,NA,APTEROUS,48,0,0
16,INC,NA,APTEROUS,48,0,0
17,SYR,NA,APTEROUS,48,1,4
17,TUB,NA,APTEROUS,48,2,4
17,INC,NA,APTEROUS,48,1,5
18,SYR,NA,APTEROUS,48,0,0
18,TUB,NA,APTEROUS,48,2,6
18,INC,NA,APTEROUS,48,1,5
19,SYR,NA,APTEROUS,48,2,7
19,TUB,NA,APTEROUS,48,0,0
19,INC,NA,APTEROUS,48,0,0
20,SYR,NA,APTEROUS,48,2,10
20,TUB,NA,APTEROUS,48,0,0
20,INC,NA,APTEROUS,48,1,5
21,SYR,NA,APTEROUS,48,4,18
21,TUB,NA,APTEROUS,48,0,0
21,INC,NA,APTEROUS,48,0,0
22,SYR,NA,APTEROUS,48,3,14
